Lon;Lat;Label;Annotation
15.9394944947;35.3081454828;1;9.5x3.4x2.1
15.9405911378;35.3088004458;1;HMN010a_S4B2_T002
14.7213657183;35.3255661346;1;7.0x2.6xnmh
14.6889594038;35.3256399302;1;4.3x1.6x0.2
14.7223590660;35.3262319340;1;HMN010a_S4B4_T003
14.6900462007;35.3263062340;1;HMN010a_S4B4_T002
14.6051139738;35.3278978242;1;4.8x2.4x0.6
15.5009160501;35.3280137339;1;3.0x1.6xnmh
14.6062001058;35.3285648774;1;HMN010a_S4B4_T001
15.5019157707;35.3286730959;1;HMN010a_S4B2_T001
14.9453508699;35.3364287711;1;7.5x0.9x1.7
14.9459597018;35.3366541248;1;HMN010a_S4B3_T002
15.1528992912;35.3416600691;1;8.5x4.6x0.3
15.1523541034;35.3418700827;1;HMN010a_S4B3_T001
13.9667658306;35.5476515123;1;4.8x3.2xnmh
13.9677555311;35.5483234465;1;HMN010a_S4B5_T007
13.9671969492;35.5484089826;1;3.2x2.5xnmh
13.9681866626;35.5490809134;1;HMN010a_S4B5_T006
13.9662970479;35.5492799759;1;3.7x6.1x0.9
13.9646558761;35.5498932366;1;2.4x2.4xnmh
13.9673807255;35.5499527180;1;HMN010a_S4B5_T005
13.9634110199;35.5504460582;1;1.0x3.2xnmh
13.9656455856;35.5505651880;1;HMN010a_S4B5_T004
13.9624681325;35.5510869296;1;3.4x5.7xnmh
13.9644007255;35.5511180197;1;HMN010a_S4B5_T003
13.9634578377;35.5517588988;1;HMN010a_S4B5_T002
13.9599769088;35.5533741999;1;6.3x2.7xnmh
13.9609666204;35.5540461894;1;HMN010a_S4B5_T001
13.8719080582;35.6692669903;1;147.0xnmhxnmh
13.8725695987;35.6697967028;1;143.1xnmhxnmh
13.8730858526;35.6699414525;1;HMN010c_PES_MALTA_T010
13.8737474065;35.6704711587;1;HMN010c_PES_MALTA_T009
13.7306698676;35.8033250353;1;5.1x3.1x0.4
13.7317548826;35.8039998991;1;HMN010a_S4B6_T001
13.6993956391;35.8050322788;1;7.3x3.3x0.7
13.7004804034;35.8057074198;1;HMN010a_S4B6_T002
13.5672174417;35.9106405527;1;4.5x4.1x0.3
13.5683059696;35.9113169248;1;HMN010a_S4B6_T003
13.4854466925;35.9815049290;1;6.0x1.7xnmh
13.4864374760;35.9821808064;1;HMN010a_S5B0_T001
13.4759255168;35.9912020636;1;2.9x5.2x0.4
13.4770107991;35.9918792183;1;HMN010a_S5B0_T004
13.4188129147;36.0557152493;1;5.0x3.8xnmh
13.4198040142;36.0563916783;1;HMN010a_S5B0_T007
13.3995448416;36.0719756877;1;3.6x3.4xnmh
13.4005359687;36.0726522753;1;HMN010a_S5B0_T006
13.3614790018;36.1147212326;1;4.5x4.2x0.3
13.3625649203;36.1153994286;1;HMN010a_S5B0_T002
13.2114850713;36.3017484494;1;9.1x2.4xnmh
13.2124773336;36.3024266047;1;HMN010a_S5B0_T005
13.1343480272;36.3347304967;1;9.5x7.4xnmh
13.1353399987;36.3354092820;1;HMN010a_S5B0_T003
13.7083713482;35.8049873464;2;HMN010a_S4B6_H003
13.7083059533;35.8063616096;2;HMN010a_S4B6_H002
13.7084681822;35.8072354342;2;HMN010a_S4B6_H001
13.4868675078;35.9833599346;3;5.2nT
13.4877099489;35.9836482711;3;HMN010a_S5B0_M001
13.3988832002;36.0725279185;3;3.1nT
13.3997262352;36.0728168850;3;HMN010a_S5B0_M003
13.3265414346;36.1890588876;3;51.1nT
13.3273257230;36.1893475495;3;HMN010a_S5B0_M006
13.3235919583;36.1904208552;3;60.9nT
13.3243762485;36.1907095364;3;HMN010a_S5B0_M004
13.3234509350;36.1910457735;3;10.4nT
13.3242352308;36.1913344557;3;HMN010a_S5B0_M005
13.3254604307;36.1924087911;3;50.5nT
13.3262447477;36.1926974607;3;HMN010a_S5B0_M008
13.1459139581;36.3332965193;3;2.8nT
13.1467587475;36.3335873088;3;HMN010a_S5B0_M009
13.0936575600;36.3560002314;3;10.2nT
13.0944425686;36.3562904370;3;HMN010a_S5B0_M002
15.9426081173;35.3107159701;4;HMN010a_S4B2_C15
